# t client_1 client_2 node_7_network node_5_network node_2_network node_0_cpu node_1_cpu node_4_cpu node_6_network node_3_io node_6_io node_2_io node_4_io node_5_cpu node_5_io node_6_cpu node_7_cpu node_4_network node_7_io node_3_network node_0_io node_2_cpu node_3_cpu node_1_io node_0_network node_1_network  cpu_max cpu_min cpu_avg io_max io_min io_avg net_max net_min net_avg
82.1 2240.0 130.0 0.021263 0.018145 0.019395 0.0 0.020313 0.02875 0.021265 1.0 1.0 1.0 1.0 0.028375 1.0 0.028 0.020897 0.018143 1.0 0.023771 0.0 0.028023 0.033688 1.0 0.0 0.019387 0.033688 0.020313 0.0268637142857 1.0 1.0 1.0 0.023771 0.018143 0.0201955714286 
84.1 2230.0 1730.0 0.019402 0.01378 0.020655 0.0 0.047063 0.0385 0.026283 1.0 1.0 1.0 1.0 0.044938 1.0 0.05275 0.043102 0.021274 1.0 0.01315 0.0 0.04675 0.03725 1.0 0.0 0.019575 0.05275 0.03725 0.0443361428571 1.0 1.0 1.0 0.026283 0.01315 0.0191598571429 
86.1 2130.0 800.0 0.020642 0.023147 0.025021 0.0 0.041711 0.029102 0.02002 0.80842 1.0 1.0 0.858378 0.028539 1.0 0.032313 0.027227 0.020018 1.0 0.022525 0.0 0.033875 0.039227 1.0 0.0 0.025025 0.041711 0.027227 0.033142 1.0 0.80842 0.952399714286 0.025025 0.020018 0.0223425714286 
88.1 2230.0 1210.0 0.014396 0.020652 0.014399 0.0 0.047289 0.041063 0.014398 1.0 1.0 1.0 0.962078 0.032313 1.0 0.035875 0.03379 0.020026 1.0 0.014401 0.0 0.03675 0.040063 1.0 0.0 0.011901 0.047289 0.032313 0.0381632857143 1.0 0.962078 0.994582571429 0.020652 0.011901 0.015739 
90.1 2250.0 1040.0 0.018778 0.0269 0.023774 0.0 0.049085 0.038813 0.020022 1.0 1.0 1.0 1.0 0.032313 1.0 0.035125 0.042375 0.025649 1.0 0.018773 0.0 0.037063 0.036125 1.0 0.0 0.0186 0.049085 0.032313 0.0386998571429 1.0 1.0 1.0 0.0269 0.0186 0.0217851428571 
92.1 2220.0 20.0 0.020641 0.019392 0.023062 0.0 0.022892 0.022 0.024394 1.0 1.0 0.996125 1.0 0.027438 1.0 0.0305 0.026955 0.017514 1.0 0.025015 0.0 0.026813 0.024563 1.0 0.0 0.019561 0.0305 0.022 0.0258801428571 1.0 0.996125 0.999446428571 0.025015 0.017514 0.0213684285714 
94.1 2200.0 5160.0 0.02005 0.022552 0.015676 0.0 0.084063 0.032313 0.015053 1.0 1.0 0.887996 1.0 0.091375 1.0 0.03079 0.201313 0.027556 1.0 0.021928 0.0 0.078 0.049313 1.0 0.0 0.018805 0.201313 0.03079 0.0810238571429 1.0 0.887996 0.983999428571 0.027556 0.015053 0.0202314285714 
96.1 2210.0 0.0 0.022515 0.020017 0.016268 0.0 0.031313 0.023586 0.020638 1.0 0.898457 0.9615 1.0 0.022438 1.0 0.020648 0.026125 0.02189 1.0 0.020639 0.0 0.028188 0.024125 1.0 0.0 0.021895 0.031313 0.020648 0.0252032857143 1.0 0.898457 0.979993857143 0.022515 0.016268 0.0205517142857 
98.1 2240.0 0.0 0.015641 0.018137 0.010642 0.0 0.0285 0.032625 0.020016 1.0 1.0 1.0 1.0 0.024 1.0 0.030125 0.02175 0.016896 1.0 0.015013 0.0 0.0265 0.024063 1.0 0.0 0.017518 0.032625 0.02175 0.0267947142857 1.0 1.0 1.0 0.020016 0.010642 0.0162661428571 
100.1 2140.0 1880.0 0.016279 0.021912 0.014408 0.0 0.034438 0.038563 0.021906 1.0 1.0 0.864998 0.805248 0.058397 1.0 0.047875 0.044563 0.013775 1.0 0.021902 0.0 0.049521 0.041813 1.0 0.0 0.018772 0.058397 0.034438 0.0450242857143 1.0 0.805248 0.952892285714 0.021912 0.013775 0.018422 
102.1 2170.0 1690.0 0.022528 0.01878 0.020652 0.0 0.0505 0.03975 0.02065 1.0 1.0 0.98762 0.969616 0.041938 1.0 0.03975 0.042584 0.0219 0.809624 0.022527 0.0 0.042125 0.042396 1.0 0.0 0.018158 0.0505 0.03975 0.0427204285714 1.0 0.809624 0.966694285714 0.022528 0.018158 0.0207421428571 
104.1 2240.0 3070.0 0.017536 0.023792 0.018787 0.0 0.059188 0.057417 0.020665 1.0 1.0 1.0 1.0 0.063938 1.0 0.062188 0.055438 0.020662 1.0 0.020662 0.0 0.057188 0.056875 1.0 0.0 0.016914 0.063938 0.055438 0.0588902857143 1.0 1.0 1.0 0.023792 0.016914 0.0198597142857 
106.1 2240.0 2000.0 0.019407 0.019405 0.019405 0.0 0.047459 0.045438 0.019404 1.0 0.994124 1.0 1.0 0.046813 1.0 0.045479 0.048875 0.019404 1.0 0.016908 0.0 0.045355 0.050438 1.0 0.0 0.021281 0.050438 0.045355 0.0471224285714 1.0 0.994124 0.999160571429 0.021281 0.016908 0.0193162857143 
108.1 2190.0 0.0 0.018141 0.02564 0.020019 0.0 0.022188 0.025979 0.020016 0.994004 0.959373 1.0 0.892792 0.02475 1.0 0.025625 0.025875 0.017516 1.0 0.013141 0.0 0.022188 0.02425 1.0 0.0 0.015639 0.025979 0.022188 0.0244078571429 1.0 0.892792 0.978024142857 0.02564 0.013141 0.0185874285714 
110.1 2110.0 3230.0 0.017539 0.02004 0.026287 0.0 0.059625 0.054563 0.018166 0.866091 1.0 1.0 0.936845 0.062188 0.786662 0.06325 0.059688 0.01941 1.0 0.013787 0.0 0.066313 0.056813 1.0 0.0 0.021289 0.066313 0.054563 0.0603485714286 1.0 0.786662 0.941371142857 0.026287 0.013787 0.0195025714286 
112.1 2230.0 2390.0 0.02378 0.016281 0.016912 0.0 0.055063 0.0585 0.023777 0.958543 1.0 1.0 1.0 0.048375 1.0 0.04379 0.048 0.018164 1.0 0.015657 0.0 0.053063 0.049375 1.0 0.0 0.020661 0.0585 0.04379 0.0508808571429 1.0 0.958543 0.994077571429 0.02378 0.015657 0.0193188571429 
114.1 2220.0 2830.0 0.022536 0.020667 0.02566 0.0 0.0705 0.043875 0.019411 1.0 1.0 1.0 1.0 0.063438 1.0 0.055018 0.055938 0.025028 0.93625 0.018157 0.0 0.058438 0.0515 0.998245 0.0 0.022546 0.0705 0.043875 0.0569581428571 1.0 0.93625 0.990642142857 0.02566 0.018157 0.0220007142857 
116.1 2110.0 2730.0 0.01816 0.018787 0.021907 0.0 0.053313 0.048063 0.023162 1.0 0.788512 1.0 0.81192 0.056188 1.0 0.057063 0.054125 0.023156 1.0 0.021913 0.0 0.050188 0.060313 1.0 0.0 0.019409 0.060313 0.048063 0.054179 1.0 0.788512 0.942918857143 0.023162 0.01816 0.0209277142857 
118.1 2040.0 1620.0 0.02503 0.020025 0.017526 0.0 0.049438 0.028268 0.015023 1.0 0.671373 1.0 0.852756 0.039563 0.828622 0.03575 0.0465 0.015018 1.0 0.019405 0.0 0.041438 0.046125 1.0 0.0 0.015657 0.049438 0.028268 0.0410117142857 1.0 0.671373 0.907535857143 0.02503 0.015018 0.0182405714286 
